distribution,sample_size_mode,num_studies,average_group_n,heterogeneity_ratio,true_i2,method,point_bias_pct,point_mse_pct,variance_bias_pct,variance_mse_pct,coverage_z,average_width_z,coverage_t,average_width_t,fail_rate
normal,fixed,10,100,0,0,QE-FE,-1.0751254703021,6.6159688401101,-3.83739398866732,0.37505421995496,0.937,0.215388521978536,0.974,0.248597776092608,0
normal,fixed,10,100,0.3333,0.249981249531238,DiVE,-0.167335083107052,8.98922876107514,0.0798317667227093,23.9194464148387,0.903,0.246470849501315,0.937,0.284472470932265,0
normal,fixed,10,100,0.3333,0.249981249531238,QE-RE,-0.0978602044002172,8.98227779238354,7.02042858356051,19.1658949358775,0.931,0.257998873697125,0.965,0.297777920783979,0
normal,fixed,10,100,0.3333,0.249981249531238,QE-FE,0.0054947817881073,9.06195487097138,-27.8373685945446,7.89107917045379,0.892,0.215439629709578,0.941,0.248656763768281,0
normal,fixed,10,100,1,0.5,DiVE,0.408334126361024,12.765434521201,1.06689721101733,21.3497897113958,0.918,0.304246782887598,0.951,0.351156472566001,0
normal,fixed,10,100,1,0.5,QE-RE,0.287424157575398,12.7417587883872,2.47355617772248,20.8006737589629,0.925,0.307397067245577,0.959,0.35479247729949,0
normal,fixed,10,100,1,0.5,QE-FE,0.205187652561688,12.8655138106733,-51.9573166050751,27.060192582387,0.829,0.215293185566102,0.876,0.248487740423603,0
normal,fixed,10,100,3,0.75,DiVE,1.67979349771603,25.4680051348426,-1.57212191629303,22.4322758678784,0.923,0.423621598190972,0.956,0.488936858137531,0
normal,fixed,10,100,3,0.75,QE-RE,1.61211272549938,25.522391759508,-1.30445354063506,22.9197323270658,0.923,0.424146130270608,0.956,0.489542264160512,0
normal,fixed,10,100,3,0.75,QE-FE,1.66948718118871,26.2510343842258,-75.9816564190388,57.7500543460823,0.664,0.215271486612173,0.721,0.248462695859294,0
normal,fixed,10,300,0,0,DiVE,-1.1714868652848,6.04558732324329,-1.93404698478288,23.8650634770544,0.927,0.121808662633596,0.957,0.140589490848284,0
normal,fixed,10,300,0,0,QE-RE,-1.30179194078065,6.07790472017196,17.4575990580874,14.3226916078739,0.964,0.136371692775482,0.986,0.157397893047186,0
normal,fixed,10,300,0,0,QE-FE,-1.30607985340487,6.08312324206611,-1.30317788346484,0.103364424950392,0.954,0.126007345510919,0.979,0.145435539357427,0
normal,fixed,10,300,0.3333,0.249981249531238,DiVE,-1.44707646087337,8.49498083228411,-1.71005092545886,19.6314805740065,0.922,0.141434784220822,0.949,0.163241627253183,0
normal,fixed,10,300,0.3333,0.249981249531238,QE-RE,-1.5220513830283,8.5248904253712,5.38632855304248,14.0262462922725,0.945,0.148351581791269,0.972,0.171224877604227,0
normal,fixed,10,300,0.3333,0.249981249531238,QE-FE,-1.57589664222296,8.53960166423064,-25.9262455557715,6.77179746426112,0.921,0.126048878577968,0.951,0.145483476118438,0
normal,fixed,10,300,1,0.5,DiVE,-0.346441097494709,13.1445876588791,-2.17795925754172,19.8125715822266,0.922,0.172884907399725,0.951,0.199540825596227,0
normal,fixed,10,300,1,0.5,QE-RE,-0.267172962828735,13.2149115015835,-0.738367829287625,18.1879684730522,0.92,0.174905796181321,0.957,0.201873301125658,0
normal,fixed,10,300,1,0.5,QE-FE,-0.208840874338213,13.353857401181,-50.6599410246065,25.6850967699086,0.823,0.125997177056663,0.888,0.145423803100122,0
normal,fixed,10,300,3,0.75,DiVE,-0.313533418993831,26.9357694685947,0.341123910298498,22.9488108011405,0.912,0.247096529722262,0.95,0.285194620423073,0
normal,fixed,10,300,3,0.75,QE-RE,-0.288885765191394,26.9604547318092,0.433146829514024,22.9340462065113,0.914,0.24728732483824,0.95,0.285414832907404,0
normal,fixed,10,300,3,0.75,QE-FE,-0.335939668203999,27.1682672151679,-75.3648763142977,56.8044965310053,0.65,0.125906316945235,0.723,0.145318933901759,0
normal,fixed,30,100,0,0,DiVE,0.626295509188649,2.14768941443707,-1.67014525983004,6.61335424688325,0.934,0.124729927739182,0.943,0.130156139340035,0
normal,fixed,30,100,0,0,QE-RE,0.512119043171587,2.16623330537284,7.19288735661076,3.68660385564868,0.952,0.130938324270434,0.959,0.136634624004032,0
normal,fixed,30,100,0,0,QE-FE,0.480296650294354,2.17524111748418,-3.96264281645949,0.244632213924534,0.939,0.124297133229437,0.95,0.129704516673871,0
